file,MAE,error
000987.pth,978832.875,
000988.pth,978893.625,
000989.pth,978865.3125,
000990.pth,978838.375,
000991.pth,978815.3125,
000992.pth,978806.1875,
000993.pth,978804.6875,
000994.pth,978800.625,
000995.pth,978807.0,
000996.pth,978818.5,
000997.pth,978837.3125,
000998.pth,978915.0,
000999.pth,978883.0,
001000.pth,978860.6875,
001001.pth,978846.1875,
001002.pth,978839.0,
001003.pth,978835.3125,
001004.pth,978832.0,
001005.pth,978843.125,
001006.pth,978866.0,
001007.pth,978890.8125,
001008.pth,978918.3125,
001009.pth,,'Ground truth not found'
001010.pth,,'Ground truth not found'
001011.pth,,'Ground truth not found'
001012.pth,,'Ground truth not found'
001013.pth,,'Ground truth not found'
001014.pth,,'Ground truth not found'
001015.pth,,'Ground truth not found'
001016.pth,,'Ground truth not found'
001017.pth,,'Ground truth not found'
001018.pth,,'Ground truth not found'
001019.pth,,'Ground truth not found'
001020.pth,,'Ground truth not found'
001021.pth,,'Ground truth not found'
001022.pth,,'Ground truth not found'
001023.pth,,'Ground truth not found'
001024.pth,978893.1875,
001025.pth,978815.875,
001026.pth,978732.625,
001027.pth,978709.875,
001028.pth,978744.6875,
001029.pth,978760.5,
001030.pth,978738.1875,
001031.pth,978729.5,
001032.pth,978764.625,
001033.pth,978814.5,
001034.pth,978883.625,
001035.pth,978946.5,
001036.pth,978909.8125,
001037.pth,978872.125,
001038.pth,978832.6875,
